id,text,date
"2037936996820410718","Every time we do a user survey.

What would make X better for you?

Normal Person: 
> Maybe a podcast feature?

Guy who reposted 370 videos from TikTok using Scheduled Posts, has never opened the app, and has a bot writing replies:
> *Foaming from mouth*
> Gib…more…money….","2026-03-28"
"2037764895064867061","If you’re seeing a bunch of Japanese posts, here are some fun facts:

Japan has more daily active users and more time spent on X than any other country in the world.

Over two thirds of the country is monthly active on X. 

X in Japan has one of the highest penetration rates of","2026-03-28"
"2037739041295409550","Never a boring day on this app—or at the company that makes this app.","2026-03-28"
"2037577773938835519","The team is finally hitting a rhythm of launching 2-3 net new features weekly and it feels great.

The next month will be all about specialized features for X’s biggest communities—including artists, finance people, situation monitors, and many more subgroups.","2026-03-27"
"2037416898485461028","The Internet was a mistake","2026-03-27"
"2037397799592144910","","2026-03-27"
"2037400296381636762","this is me btw","2026-03-27"
"2037048934015889674","The full power of Grok on the algorithm launches next week. It will be the most important change we've done on X.","2026-03-26"
"2037051186101313640","Higher.","2026-03-26"
"2036882748229771641","Ladies and gentlemen, I'd like to welcome 
@benjitaylor
 to 𝕏, our new design lead.

I met Benji six years ago when I invested in his app: it was one of the most well-designed products I'd encountered.  I knew right away he was on track to become one of the best designers in the","2026-03-25"
"2036603028619534564","Starting Thursday, we'll be updating our revenue sharing incentives to better reward the content we want on X:

We will be giving more weight to impressions from your home region—to encourage content that resonates with people in your country, in neighboring countries and people","2026-03-25"
"2035953791594602621","Love that I can now build a blockbuster app in 30 minutes, only for it to be disrupted in 3 months when the brain-computer singularity  happens and the world implodes and we’re lying in vats of fluid, orbiting a distant nebula.","2026-03-23"
"2035541806591643836","Today’s Terafab announcement reminded me of when I first met Elon: 

I watched him do 10 hours of xAI reviews without a break—and then he ate a $9 Doordash burrito and kept going until 2am. 

He could do anything right now, but instead he spends every waking minute earnestly","2026-03-22"
"2035454321719202239","Happy anniversary to this app. 
Thank you for bringing us all together 
@jack","2026-03-21"
"2035228250725810266","Happy Friday. 
Testing a new feature.","2026-03-21"
"2034878442098106798","I feel bad for any reporter that has to write about my deranged shitposts.","2026-03-20"
"2034675770875158973","We’re rolling out summaries for Articles now. Just tap the Summarize button if you want to know if it’s worth your time to read it (or if your attention span is 12 seconds).","2026-03-19"
"2034681078032867812","Credit to 
@alxkikalia
 and 
@sunderls
 for whipping this up and 
@nicoduc
 on design","2026-03-19"
"2034650348900806691","No, there’s nothing over there. Come back to the screen.","2026-03-19"
